CarType,Year,Color,Miles
Sedan,1986,White,128044
Sedan,2019,White,90541
Hatchback,1975,Pink,70754
Hatchback,2000,White,141122
Sedan,1982,Purple,144695
Convertible,1979,Yellow,51605
Hatchback,1995,White,187869
Sedan,2009,Yellow,34267
Hatchback,2020,Green,139318
Hatchback,2012,White,52381
Hatchback,2005,White,59482
Hatchback,2008,White,211485
Sedan,1977,Orange,233942
Sedan,2016,White,113601
Sedan,2020,Blue,18724
Hatchback,1983,White,167008
Sedan,2004,Brown,214976
Hatchback,2007,Black,221482
Sedan,2000,Red,7431
Sedan,2013,White,77453
Hatchback,1981,Black,28489
Hatchback,2003,Red,244799
Convertible,1991,White,230863
Hatchback,1993,Purple,228045
Sedan,2009,Orange,102042
Sedan,1999,Blue,115293
Sedan,1986,White,197888
Sedan,2006,Brown,148490
Sedan,1984,Brown,172508
Sedan,1989,Red,557
Sedan,1992,Blue,98349
Sedan,2008,Yellow,134473
Hatchback,1993,Purple,118209
Convertible,2018,Orange,240741
Hatchback,1978,White,212773
Sedan,1981,Red,22073
Sedan,2018,Black,111982
Sedan,1981,Green,89418
Sedan,1994,Black,93541
Convertible,2017,Red,53768
Sedan,1978,Red,57251
Hatchback,1995,Red,218181
Sedan,2005,Red,149760
Hatchback,2017,Yellow,66132
Sedan,2017,Black,159972
Sedan,1995,Blue,237878
Sedan,1975,Green,137997
Sedan,1995,Purple,52
Hatchback,2001,Red,86629
Hatchback,1995,Blue,233493
Sedan,2007,Green,178648
Sedan,2001,Purple,51403
Sedan,1992,Blue,248808
Convertible,1985,Orange,52520
Sedan,1986,Orange,161755
Sedan,2015,Brown,224926
Sedan,1984,Green,101001
Sedan,1999,Yellow,32052
Convertible,1989,Orange,515
Convertible,2018,Pink,97352
Sedan,1981,Yellow,206496
Convertible,1996,Yellow,141983
Sedan,2010,Red,158633
Sedan,1989,Black,40038
Sedan,1980,Red,118387
Sedan,1976,Black,116122
Sedan,1987,Yellow,246485
Sedan,2013,Pink,93772
Convertible,1980,Green,119715
Sedan,2002,Yellow,186979
Hatchback,2014,Purple,75420
Sedan,1994,Yellow,59510
Convertible,1996,Purple,181554
Sedan,2008,Purple,233541
Hatchback,2016,White,203271
Hatchback,1974,Brown,235250
Hatchback,1985,Black,195509
Sedan,2016,White,169799
Convertible,2001,Red,21343
Hatchback,1985,Red,198928
Convertible,2011,White,102507
Hatchback,1982,Brown,170769
Convertible,2018,Orange,54333
Hatchback,1998,Green,56825
Convertible,2000,Black,85423
Convertible,1989,White,26931
Sedan,1993,White,236590
Convertible,1999,Blue,243840
Sedan,1982,Pink,187264
Hatchback,2002,Yellow,236298
Hatchback,1974,Orange,122407
Sedan,2018,Green,82526
Sedan,1994,Pink,207778
Sedan,1977,Brown,136341
Sedan,1987,Green,56859
Hatchback,1974,Red,175396
Hatchback,2007,Green,128565
Sedan,2016,Red,73932
Sedan,2003,Orange,177516
Sedan,2007,Red,24396
Sedan,2001,Purple,7428
Sedan,1997,Black,177391
Sedan,2021,Purple,110882
Convertible,1987,Red,64921
Hatchback,2003,Pink,153803
Convertible,2014,Yellow,191392
Hatchback,2003,Green,221424
Convertible,2002,Blue,245208
Sedan,1989,White,14128
Sedan,2002,Purple,51070
Sedan,2007,White,64417
Sedan,1994,White,226213
Convertible,2014,White,41004
Sedan,1988,Red,143600
Sedan,2006,Blue,237805
Sedan,2016,Yellow,171325
Sedan,2004,Red,87809
Convertible,1995,Blue,172279
Convertible,2009,Green,172624
Sedan,1975,Blue,36519
Hatchback,1984,Yellow,140037
Sedan,1999,Blue,56587
Hatchback,1985,Brown,193792
Sedan,1990,Yellow,219252
Hatchback,2002,Orange,162565
Hatchback,2021,Green,172773
Sedan,2000,Red,78460
Sedan,2008,Red,39633
Hatchback,2023,White,111630
Sedan,1985,Black,80440
Hatchback,1980,Black,206776
Hatchback,2016,Pink,72563
Sedan,2021,White,27912
Convertible,1975,Pink,176277
Convertible,1978,Red,244270
Sedan,1982,Blue,143983
Sedan,1980,Green,147263
Sedan,2017,Purple,208975
Sedan,2007,Yellow,213168
Sedan,1983,Black,246870
Sedan,2001,Brown,8404
Sedan,2010,Brown,233677
Sedan,1977,Pink,204802
Sedan,1985,Black,51791
Sedan,2017,Black,55932
Sedan,2022,Red,2344
Sedan,2006,Brown,102290
Hatchback,1978,Brown,155995
Sedan,2017,Green,155573
Hatchback,1998,Green,130851
Hatchback,2009,Red,103662
Convertible,1998,Blue,33249
Sedan,1974,Blue,232611
Sedan,1981,Brown,1780
Sedan,2023,Yellow,177068
Convertible,1999,Purple,165717
Convertible,1993,Red,213521
Hatchback,2010,Yellow,81629
Sedan,2016,White,175316
Convertible,1997,Brown,107493
Sedan,1999,Green,143226
Sedan,1985,Green,47855
Sedan,2002,Yellow,204547
Sedan,1991,Green,123776
Hatchback,1999,Blue,96263
Sedan,2021,Orange,118227
Sedan,2007,Pink,11104
Hatchback,2014,Orange,142855
Sedan,2018,Orange,41100
Sedan,2022,Green,14760
Hatchback,1995,Yellow,144143
Sedan,2011,Orange,127450
Sedan,1996,Blue,139294
Sedan,1998,Yellow,166682
Hatchback,1999,Purple,171051
Sedan,2023,Red,189316
Hatchback,2012,White,175559
Sedan,2005,Orange,173763
Convertible,2021,White,39973
Convertible,2006,Black,242451
Sedan,2013,Blue,162788
Sedan,1974,Purple,220004
Sedan,1990,Green,29207
Sedan,2009,Brown,230237
Sedan,1996,Orange,6342
Sedan,2001,Red,73011
Convertible,1982,White,140790
Sedan,2015,Pink,109627
Sedan,2010,Blue,33505
Sedan,1985,Red,21150
Convertible,1985,Red,189856
Convertible,1978,Red,115820
Sedan,1990,Red,60440
Hatchback,1986,Green,145714
Hatchback,1992,Blue,134699
Sedan,2011,Black,102171
Sedan,1998,Red,239027
Sedan,2008,Pink,68774
Convertible,2019,Green,112308
Hatchback,2001,Red,91617
Convertible,2003,Red,219888
Hatchback,2009,Brown,110189
Sedan,2003,Brown,135839
Sedan,1981,Yellow,146731
Sedan,2013,Red,85406
Sedan,2000,Pink,8086
Convertible,2020,Red,181845
Sedan,1991,Blue,33115
Sedan,2008,Red,201873
Convertible,1992,Red,123223
Convertible,2001,Pink,136202
Convertible,1979,Blue,169281
Convertible,2014,Black,182091
Sedan,1999,Orange,93912
Sedan,2015,Red,138910
Sedan,2015,Black,150663
Sedan,1981,Brown,244752
Convertible,2002,Black,124963
Sedan,2001,White,234347
Sedan,1994,Yellow,4775
Sedan,2005,Green,50257
Sedan,2022,Yellow,139213
Sedan,1985,Brown,229385
Sedan,1999,Yellow,125541
Sedan,2013,Green,86133
Convertible,2003,Orange,112864
Sedan,1997,Green,203964
Convertible,1991,Purple,7546
Sedan,1979,Pink,218540
Hatchback,2021,Brown,210964
Hatchback,2018,Pink,88404
Sedan,2006,Purple,140957
Sedan,2017,Purple,222292
Sedan,2015,Black,181416
Convertible,1981,Black,64983
Sedan,1993,Blue,99389
Sedan,1985,Yellow,217104
Sedan,1989,Brown,236105
Sedan,1990,Red,70317
Sedan,2011,Pink,69824
Hatchback,1989,Orange,109865
Hatchback,1983,Green,215986
Sedan,2003,Green,43821
Hatchback,2001,Orange,93789
Convertible,2003,Green,84067
Convertible,1974,Blue,30016
Sedan,2015,Pink,111491
Sedan,2005,White,31949
Sedan,2009,Orange,47967
Hatchback,1983,Red,103022
Sedan,2002,Yellow,136532
Sedan,1979,Red,83130
Hatchback,2021,White,170490
Sedan,2000,Pink,210126
Sedan,1975,Blue,140183
Hatchback,1977,Yellow,33171
Hatchback,2013,Orange,153390
Sedan,2012,Blue,219085
Sedan,1992,Purple,61088
Convertible,2022,Red,51585
Hatchback,2006,Red,182190
Sedan,1982,Pink,207212
Convertible,1991,Brown,193856
Convertible,2010,Yellow,174024
Convertible,1987,Black,165868
Sedan,1982,Purple,110817
Convertible,1990,Black,62573
Sedan,1981,Blue,176270
Sedan,1997,Red,220828
Sedan,2004,Yellow,111373
Sedan,2003,Black,8152
Sedan,2019,Pink,65068
Hatchback,2000,Orange,21619
Hatchback,2009,Red,29168
Hatchback,1977,Blue,157384
Sedan,1981,Red,153968
Hatchback,1996,Yellow,236407
Convertible,1997,Black,15938
Sedan,1975,Purple,164240
Convertible,2016,Red,187031
Convertible,1998,Red,31881
Hatchback,2018,White,79726
Convertible,1996,Red,230341
Sedan,1987,Black,166232
Sedan,2004,Red,78812
Sedan,2023,Red,121202
Sedan,1977,Red,156775
Sedan,1978,Red,182674
Convertible,1985,Yellow,154550
Convertible,2017,Yellow,176829
Sedan,2016,Purple,171164
Sedan,2023,Purple,145001
Sedan,1984,Pink,186407
Hatchback,2017,Pink,210813
Hatchback,2012,Blue,220929
Sedan,1978,Brown,92884
Convertible,2017,Red,70927
Hatchback,1997,Black,14027
Hatchback,1995,Red,138217
Sedan,1986,Black,76249
Hatchback,2018,Purple,73199
Hatchback,2016,Orange,213404
Convertible,1998,Black,55091
Sedan,1974,Red,200262
Sedan,1991,Black,30758
Sedan,1988,Green,238554
Convertible,2018,Red,87250
Hatchback,1995,Green,29894
Sedan,2003,Black,2943
Hatchback,2022,Orange,161228
Sedan,1988,Purple,77004
Hatchback,2011,White,16450
Hatchback,1997,Red,27306
Convertible,1983,Brown,141565
Sedan,2019,Purple,151892
Hatchback,2021,Red,2106
Sedan,1977,Purple,212408
Sedan,1984,White,34498
Sedan,1977,Yellow,76145
Sedan,1981,Red,77086
Sedan,1988,Green,140369
Sedan,1981,Brown,102853
Convertible,1978,Red,64664
Sedan,2023,Green,183993
Convertible,2001,Pink,246160
Sedan,2019,Red,177918
Convertible,1976,Pink,224367
Hatchback,1986,Red,80612
Sedan,1999,Green,34749
Hatchback,2000,Orange,26387
Hatchback,2017,Black,79392
Hatchback,2013,Red,118090
Hatchback,2010,Orange,190287
Sedan,2002,White,102323
Hatchback,2002,Orange,32679
Hatchback,1994,Yellow,9295
Convertible,1977,Black,1369
Hatchback,1999,Orange,204923
Sedan,2007,Pink,58857
Sedan,2012,Red,55589
Convertible,2021,Purple,18219
Sedan,1994,Blue,183926
Sedan,1989,Pink,41571
Hatchback,1999,Black,44808
Sedan,1983,Red,4185
Sedan,2015,Black,75666
Hatchback,1980,Pink,189702
Hatchback,1989,Red,51720
Sedan,2006,Red,35017
Sedan,1998,Orange,248677
Hatchback,1976,Black,157007
Hatchback,1998,Purple,15322
Sedan,1981,Brown,119522
Sedan,1987,Yellow,105130
Convertible,1995,Green,186837
Convertible,2019,Brown,137159
Sedan,1984,Pink,83996
Convertible,1984,White,153984
Sedan,2001,Yellow,70318
Convertible,1991,Yellow,212566
Hatchback,1998,Pink,56026
Convertible,2014,Yellow,164806
Hatchback,2017,Brown,380
Hatchback,2021,White,26893
Hatchback,2015,Green,26997
Sedan,2011,Yellow,205674
Convertible,2022,Yellow,224002
Sedan,2009,Green,40275
Convertible,2012,Black,142447
Convertible,2007,Red,211203
Sedan,2007,Orange,61989
Convertible,2012,Pink,130757
Hatchback,1979,Green,11344
Hatchback,2008,Purple,247486
Sedan,2017,Green,135766
Sedan,1997,Purple,57565
Sedan,2009,Brown,245810
Sedan,1999,Purple,231655
Hatchback,2006,Yellow,233835
Hatchback,1985,Red,1071
Convertible,1986,Black,35975
Sedan,2006,Green,160626
Hatchback,1981,White,118844
Sedan,2004,Yellow,3912
Hatchback,2023,Yellow,182349
Sedan,2010,Green,44361
Hatchback,1986,White,96853
Hatchback,2012,Green,81952
Sedan,1982,Red,54260
Sedan,2016,Green,110690
Convertible,2022,Blue,60663
Sedan,1993,Red,193535
Sedan,2003,Purple,33901
Sedan,2005,Black,14440
Sedan,2000,Yellow,66938
Sedan,1976,Orange,246076
Sedan,2000,White,125997
Sedan,1988,Black,30041
Sedan,1996,Orange,222489
Sedan,1998,Blue,17268
Sedan,2003,Green,182109
Sedan,1981,Red,248922
Sedan,2010,Purple,55
Sedan,2000,Red,132528
Sedan,1976,Orange,105505
Sedan,1989,Pink,247221
Sedan,1991,Orange,172841
Sedan,2010,Blue,212898
Convertible,1996,Pink,148317
Hatchback,2016,Green,33159
Sedan,1992,Purple,125295
Sedan,1992,Green,22693
Convertible,1982,Orange,229832
Convertible,2006,Green,2035
Sedan,1997,Blue,166470
Sedan,1996,Pink,43454
Hatchback,2011,White,200594
Hatchback,1991,Pink,145836
Sedan,2023,Red,142026
Convertible,2017,Black,191825
Convertible,1976,Brown,242475
Hatchback,2008,Yellow,132624
Sedan,1989,Red,132167
Sedan,2013,Orange,169138
Convertible,2015,Pink,192186
Hatchback,2008,Red,190328
Convertible,2007,Red,70162
Hatchback,1978,Black,173936
Sedan,2006,Red,242039
Convertible,1992,Black,47856
Sedan,1989,Red,6364
Sedan,1998,White,126751
Sedan,1995,Orange,116632
Sedan,2013,White,155005
Sedan,1979,Purple,189119
Sedan,1992,Orange,127087
Hatchback,1987,Yellow,42058
Sedan,1999,Red,97341
Sedan,2019,Brown,225454
Hatchback,1991,Green,78153
Convertible,1977,Red,144330
Sedan,1987,Red,89673
Convertible,1990,Green,155064
Sedan,2020,Yellow,12232
Hatchback,1983,White,180333
Hatchback,1977,Red,101481
Hatchback,1975,Blue,63895
Sedan,2017,Purple,140707
Convertible,1986,Brown,126326
Hatchback,2003,White,186113
Sedan,1978,Pink,132022
Sedan,1983,Black,147394
Sedan,2008,Brown,239326
Sedan,2007,Red,128908
Sedan,2007,Purple,5758
Sedan,2012,Black,62739
Sedan,2002,Blue,203684
Sedan,2003,Yellow,149354
Convertible,2015,Yellow,100706
Sedan,1982,Pink,125280
Sedan,1992,Red,191357
Hatchback,2018,Green,159017
Hatchback,1977,Blue,137802
Sedan,1974,Brown,204878
Hatchback,2015,Black,84785
Convertible,1987,Black,48464
Sedan,1996,Pink,232237
Sedan,2019,Blue,31415
Hatchback,2003,Black,104745
Hatchback,2021,Pink,17402
Sedan,1997,Red,225058
Sedan,1977,Red,216765
Sedan,2000,Brown,102803
Sedan,1975,Pink,133238
Hatchback,2005,Pink,138544
Hatchback,2017,Red,100532
Convertible,1991,Pink,174634
Hatchback,1985,Green,195823
Hatchback,2012,Orange,33596
Sedan,1981,Black,20216
Hatchback,2019,Brown,191095
Sedan,2021,Yellow,204647
Sedan,2004,Yellow,13073
Convertible,2019,Red,73703
Sedan,1987,Pink,215106
Sedan,1982,Red,195055
Sedan,1984,White,85792
Sedan,2011,Pink,62010
Convertible,1985,Orange,114409
Hatchback,2021,Yellow,1651
Sedan,2021,Pink,48396
Sedan,2020,Green,93515
Convertible,1977,Red,125639
Hatchback,2015,Brown,27806
Convertible,2005,Yellow,237018
Hatchback,2001,Yellow,173581
Sedan,1979,Brown,242159
Convertible,2004,Blue,167311
Hatchback,2010,Pink,193664
Convertible,2009,White,25031
Convertible,1975,Pink,118731
Sedan,2021,White,144166
Hatchback,1982,Blue,136116
Convertible,1990,Pink,124933
Hatchback,2016,Blue,202776
Sedan,2015,Red,180188
Sedan,1997,Purple,189543
Sedan,1984,Purple,215028
Convertible,2021,Green,172453
Sedan,2017,Orange,116886
Sedan,1988,Green,56022
Sedan,1981,Red,185707
Sedan,2011,Red,205435
Sedan,2002,Blue,115650
Sedan,2001,Orange,242308
Sedan,2010,Pink,176446
Convertible,1985,Red,168756
Sedan,2002,Red,124481
Sedan,1975,Purple,234036
Sedan,2008,Green,205856
Convertible,1992,Purple,92624
Hatchback,1980,Black,47633
Sedan,2002,Brown,25868
Sedan,2016,Red,136866
Sedan,1994,Brown,156362
Hatchback,2008,Brown,119348
Sedan,1980,Brown,6833
Hatchback,2020,Pink,2781
Convertible,1974,Yellow,10196
Sedan,1996,Orange,229832
Sedan,1975,White,23072
Convertible,1995,Brown,186791
Convertible,2014,White,150343
Sedan,1974,Blue,193343
Hatchback,2013,White,205134
Hatchback,2022,Red,193261
Sedan,1975,Yellow,232873
Convertible,1980,Red,17714
Hatchback,2015,Black,144486
Convertible,2012,Orange,191608
Hatchback,1991,Green,55694
Sedan,1995,Orange,53552
Sedan,2018,Brown,143572
Hatchback,1977,Orange,157233
Sedan,1985,White,107789
Sedan,1988,White,169715
Sedan,1993,Brown,86671
Convertible,1989,Orange,179226
Sedan,2021,Pink,77133
Sedan,2000,Red,220480
Hatchback,1984,Orange,69172
Convertible,2002,Green,170859
Sedan,1996,Red,3283
Sedan,1993,Red,89379
Convertible,1999,White,118183
Sedan,2009,Orange,90581
Convertible,1976,Blue,4061
Sedan,2022,Yellow,86401
Convertible,2007,Yellow,56544
Convertible,2018,Red,246838
Convertible,2010,Red,420
Sedan,2007,Brown,146804
Hatchback,1999,Green,4706
Hatchback,2001,Pink,6398
Sedan,1980,Yellow,155757
Sedan,1979,Red,196155
Convertible,1991,Yellow,210288
Sedan,2002,Black,18716
Sedan,2020,White,65400
Convertible,2006,White,240901
Convertible,2003,Yellow,136861
Sedan,1984,Brown,186353
Sedan,1974,Pink,101961
Hatchback,1994,Black,138101
Sedan,1988,Yellow,89637
Hatchback,2000,Purple,232688
Sedan,1988,Pink,38952
Sedan,1994,Blue,90616
Sedan,1987,Brown,97610
Sedan,2007,Green,9665
Hatchback,1974,Red,244403
Hatchback,1997,Orange,7845
Sedan,2000,Red,165954
Hatchback,2017,Yellow,58315
Convertible,2014,Orange,182015
Hatchback,1992,Brown,217680
Sedan,2017,Pink,32101
Sedan,1976,Red,153276
Sedan,2004,Red,247370
Sedan,1994,Green,106281
Convertible,1999,Pink,51188
Hatchback,1992,Purple,206290
Sedan,2014,Purple,63926
Hatchback,1996,Green,57937
Hatchback,1995,Blue,106766
Sedan,1998,Green,196384
Sedan,1983,Blue,80386
Sedan,1979,Red,111203
Hatchback,1983,Brown,110110
Convertible,2008,Green,240978
Sedan,1992,Yellow,105509
Hatchback,2009,Red,89057
Convertible,1992,White,71313
Sedan,2011,Orange,112222
Convertible,1988,Purple,59584
Hatchback,2020,Orange,8173
Hatchback,2019,Green,143393
Convertible,1984,Blue,149544
Convertible,1979,Orange,116055
Hatchback,2016,Red,61881
Sedan,2006,Black,209869
Convertible,2001,Orange,236667
Sedan,2011,Pink,100955
Hatchback,2016,Purple,19329
Convertible,1995,Orange,54243
Sedan,2012,Brown,230571
Sedan,2005,White,209683
Sedan,2004,Orange,98476
Convertible,2021,Yellow,194888
Hatchback,1998,Pink,223839
Hatchback,2007,Brown,122521
Sedan,1997,Yellow,192253
Hatchback,2009,Red,35991
Sedan,1977,Yellow,64658
Convertible,1974,Brown,165133
Convertible,1976,Green,218681
Hatchback,2015,Brown,230451
Hatchback,1986,Orange,3491
Hatchback,1978,Brown,233213
Convertible,1990,Green,36087
Hatchback,2002,Red,43109
Sedan,1998,Blue,104404
Sedan,2012,Black,115628
Sedan,2000,Yellow,207815
Convertible,1990,Red,97750
Hatchback,1986,Yellow,75739
Sedan,1990,Orange,121139
Convertible,1974,Purple,118179
Sedan,1988,Red,208376
Convertible,1975,Brown,21541
Hatchback,1975,Brown,182181
Convertible,2005,Green,38757
Convertible,1997,Green,90887
Sedan,2020,Pink,131808
Sedan,1990,Blue,52800
Sedan,2015,Blue,232904
Hatchback,2022,Red,43457
Sedan,2009,Red,23228
Hatchback,2005,Yellow,236254
Sedan,2012,Yellow,34847
Hatchback,1978,Red,204050
Hatchback,1981,Orange,88122
Hatchback,1998,Blue,122157
Sedan,2014,Purple,230562
Hatchback,1985,Yellow,185406
Sedan,2006,Orange,75130
Hatchback,1993,Green,131406
Sedan,2022,Pink,11731
Sedan,2005,Black,109226
Sedan,2002,Brown,195832
Convertible,2003,Yellow,235942
Hatchback,2007,Yellow,44323
Sedan,1977,Red,26928
Sedan,1979,Red,144720
Hatchback,1987,Blue,239458
Sedan,2018,Pink,235457
Convertible,1984,Black,135893
Convertible,2021,Green,63669
Sedan,1980,Pink,148121
Hatchback,1974,White,201491
Sedan,1992,Orange,67157
Hatchback,2018,Red,225487
Sedan,2003,Red,205057
Sedan,1994,Pink,59615
Sedan,2015,Black,89950
Sedan,1989,Black,56142
Sedan,2010,White,130833
Convertible,1992,Blue,7861
Hatchback,2011,Purple,221605
Convertible,2012,Red,156305
Sedan,1984,Purple,55239
Convertible,1987,Purple,228508
Sedan,2004,Green,226025
Sedan,1980,Green,130569
Hatchback,1982,White,170123
Sedan,2006,Pink,241944
Convertible,2006,Red,227326
Sedan,1992,Black,197361
Sedan,2019,Black,102209
Sedan,1996,White,184182
Sedan,1994,Black,183159
Hatchback,2002,Blue,149217
Sedan,1986,Red,197214
Hatchback,1990,Purple,221798
Sedan,2023,Blue,232322
Hatchback,2020,Blue,100759
Convertible,1998,White,126287
Sedan,1990,Green,40068
Hatchback,1983,Red,48916
Hatchback,2007,Pink,54887
Convertible,1985,Blue,219869
Sedan,1975,Red,106788
Hatchback,1986,Green,155330
Convertible,2007,Orange,87935
Hatchback,1988,Blue,51617
Sedan,2004,Red,32975
Hatchback,1975,Red,62633
Sedan,1983,Purple,97000
Convertible,1997,Green,214935
Sedan,2016,Black,247146
Sedan,2009,Yellow,79622
Sedan,1976,Yellow,171504
Sedan,1987,Red,127678
Convertible,1997,Red,191561
Sedan,2013,Red,220861
Sedan,2015,Orange,171125
Sedan,1990,Black,94981
Hatchback,1980,Red,18427
Sedan,1986,Pink,117300
Convertible,1986,Red,133918
Convertible,2001,Orange,53088
Sedan,2017,Red,183858
Sedan,1994,Brown,122892
Convertible,1975,Brown,184079
Sedan,1978,Purple,211644
Hatchback,1974,Black,53564
Sedan,2009,Blue,57603
Sedan,1978,Green,151030
Convertible,2000,Pink,130162
Sedan,2005,Red,55875
Sedan,2014,Green,243416
Sedan,1988,Yellow,231998
Hatchback,2016,White,158129
Sedan,1993,Red,234741
Sedan,1981,Orange,235716
Sedan,2022,Blue,96818
Sedan,2001,Red,112334
Sedan,1978,Yellow,48902
Sedan,1996,Green,194670
Sedan,1999,Red,54554
Hatchback,2008,Blue,158299
Hatchback,1991,Black,58505
Hatchback,1982,Red,210521
Hatchback,1977,Brown,68429
Sedan,1976,Red,81756
Sedan,1977,Green,133289
Sedan,2008,Blue,216199
Sedan,1993,Brown,226753
Sedan,1977,Pink,4921
Sedan,2009,Red,60019
